0.277123 -0.748620 0.467108 -0.945728 -0.197759 -0.415210 -0.075875 0.415925 -0.241435 -0.102206 0.125201 0.019985 
0.235274 -0.792939 0.477631 -0.915213 -0.176337 -0.398481 -0.089953 0.388751 -0.265635 -0.132407 0.104119 0.026182 
0.280658 -0.850836 0.463593 -0.899070 -0.136871 -0.382639 -0.117249 0.384084 -0.286386 -0.176387 0.099203 0.067698 
0.372060 -0.894892 0.444749 -0.861209 -0.099712 -0.357639 -0.152796 0.353336 -0.292110 -0.217335 0.093374 0.130032 
0.386590 -0.825947 0.387592 -0.854458 -0.025152 -0.348490 -0.144475 0.308800 -0.334167 -0.215255 0.087140 0.164435 
0.412115 -0.754581 0.329350 -0.827186 0.060879 -0.327077 -0.153545 0.263775 -0.353338 -0.239908 0.079769 0.230681 
0.526530 -0.809776 0.314082 -0.798010 0.141983 -0.289357 -0.198199 0.247045 -0.371583 -0.275484 0.067685 0.244940 
0.580789 -0.869978 0.283242 -0.761119 0.239099 -0.270847 -0.224089 0.223235 -0.416112 -0.294643 0.056153 0.226887 
0.580790 -0.885318 0.262161 -0.698168 0.349504 -0.267117 -0.268162 0.181372 -0.463977 -0.306639 0.069932 0.227555 
0.499218 -0.899815 0.286962 -0.618321 0.445409 -0.257304 -0.311010 0.128011 -0.503145 -0.280985 0.083308 0.176696 
0.403842 -0.910736 0.329303 -0.504594 0.512301 -0.263169 -0.356223 0.057951 -0.521823 -0.234711 0.107443 0.131776 
0.405021 -0.947925 0.363719 -0.439398 0.541330 -0.274483 -0.390163 0.031048 -0.536314 -0.208472 0.123060 0.094197 
0.400065 -0.944300 0.399808 -0.362150 0.529179 -0.303200 -0.400925 0.023307 -0.519758 -0.171802 0.118850 0.028110 
0.342091 -0.886483 0.452784 -0.271685 0.544368 -0.331674 -0.407392 -0.001825 -0.486914 -0.087701 0.113991 -0.045724 
0.327550 -0.868602 0.539851 -0.187295 0.604361 -0.297121 -0.400102 0.012173 -0.459572 -0.053742 0.101090 -0.135772 
0.303024 -0.923560 0.623637 -0.155046 0.613784 -0.279126 -0.403386 0.022505 -0.452343 -0.046720 0.075024 -0.210864 
0.170013 -0.918726 0.653312 -0.094463 0.609759 -0.306592 -0.379828 0.001820 -0.445424 -0.022644 0.030279 -0.237195 
